"","strategy_free_ans","high_low_verbal","talk_out_loud","worker_id","n","experiment"
"1","All I could do is focus and try to memorize the images so I could more quickly associate them with the animal type","high_verbal","No","qFEgGDhX",200,"same_different"
"2","As each set of images appeared I repeated either ""exact"" or ""animal"" to myself in my head to remind me which one I was deciding, exact animal or animal category.","low_verbal","No","0X9nY8Ym",200,"same_different"
"3","For this? I just compared the two figures.","low_verbal","No","UhCBWnbb",200,"same_different"
"4","I didn't really have a strategy on this one. Just tried to watch the pictures and choose as quick as I could.","low_verbal","No","Ezm1v61p",200,"same_different"
"5","I didn't really have one to be honest.","high_verbal","No","LpHjkqKd",200,"same_different"
"6","I don't think I really used a strategy, I mainly just waited for the shapes to appear and then hit the button. Occasionally I got mixed up because of size discrepencies.","high_verbal","No","OHHIBcMJ",200,"same_different"
"7","I got into the zone so to speak. I don't know how to explain it.","low_verbal","No","Xa9ISMwC",200,"same_different"
"8","I had no strategy for this task honestly","high_verbal","No","IGrNgFbi",200,"same_different"
"9","I just compared them.","high_verbal","No","NCar5SZo",200,"same_different"
"10","I just paid close attention to the outlines.","low_verbal","No","HPiIXyO1",200,"same_different"
"11","I really didn't have a strategy, I was just looking at the pictures and going with what my eyes told me.","low_verbal","No","Ds5BnIYz",197,"same_different"
"12","I said out loud what animal it was.","high_verbal","Yes","ycrZF9Ui",200,"same_different"
"13","I spoke the animal in my head on the cat/dog portion","high_verbal","No","RlmJUu78",200,"same_different"
"14","I talked to myself in my head while solving these problems. It helped me to keep a rhythm of wheter I was looking at a cat or dog. I also tried to overlap the pictures in my mind to see if they matched.","high_verbal","No","m6nAacjH",200,"same_different"
"15","I thought ""dog"" or ""cat"" as a voice in my head and swore out loud whenever I got something wrong","high_verbal","Yes","U8Rxi9rz",200,"same_different"
"16","I thought t myself are they identical when they needed to be identical, and are they the same animal when they needed to eb the same animal and clicked the corresponding button accordingly","high_verbal","No","qPOXJpNv",200,"same_different"
"17","I tried to link the conditions to each button in my mind.","high_verbal","No","WewWn58j",199,"same_different"
"18","In my head I said ""same"" or ""different"" before I pressed the arrow key.","high_verbal","No","XTcCmXvP",200,"same_different"
"19","Just compared the images as they appeared.  The harder thing was staying focused towards the end of the task.","low_verbal","No","7rvMjiCW",200,"same_different"
"20","Just take a quick second to process if it’s a cat or dog","low_verbal","No","gmTxt8dp",193,"same_different"
"21","just trying to be observant of the two pairs.","high_verbal","No","mHkNNA58",199,"same_different"
"22","Looked at the tails usually","low_verbal","No","2dXRa5Zq",200,"same_different"
"23","mental notes","high_verbal","No","RHqN8QGm",200,"same_different"
"24","N/A","high_verbal","No","4FubSY7J",199,"same_different"
"25","N/A","low_verbal","No","qkCSFiGm",200,"same_different"
"26","na","high_verbal","No","Ps3HVmAH",199,"same_different"
"27","no","high_verbal","No","26Z3U4Qu",200,"same_different"
"28","no","high_verbal","No","c8Txd3Z5",200,"same_different"
"29","no","high_verbal","No","XxuTNyUr",198,"same_different"
"30","no","high_verbal","No","yduNAfJN",200,"same_different"
"31","no","high_verbal","Yes","zfMwhrdi",200,"same_different"
"32","no","low_verbal","No","7rrmnKSW",197,"same_different"
"33","no","low_verbal","No","8yyEgSuX",198,"same_different"
"34","no","low_verbal","No","e3BB2RMg",200,"same_different"
"35","no","low_verbal","No","fX6rWWkd",200,"same_different"
"36","no","low_verbal","No","mZqk099M",199,"same_different"
"37","no","low_verbal","No","OE580Gi8",200,"same_different"
"38","no","low_verbal","No","wDmKNbjb",200,"same_different"
"39","No","high_verbal","No","2Ie4vXKm",200,"same_different"
"40","No","high_verbal","No","y1Ud0IvQ",199,"same_different"
"41","No","low_verbal","No","TFWelN7f",200,"same_different"
"42","No particular strategy.","high_verbal","No","AvRdAeDp",200,"same_different"
"43","No there is not.","low_verbal","No","xMXJBD7Y",200,"same_different"
"44","no_answer","high_verbal","No","7eDZS0g9",200,"same_different"
"45","no_answer","high_verbal","No","BfCux7Qy",191,"same_different"
"46","no_answer","high_verbal","No","bj3SfFHq",200,"same_different"
"47","no_answer","high_verbal","No","gY67hxD2",100,"same_different"
"48","no_answer","high_verbal","No","IMlP20yi",200,"same_different"
"49","no_answer","high_verbal","No","Ki4GHif7",200,"same_different"
"50","no_answer","high_verbal","No","NRFUWLZO",200,"same_different"
"51","no_answer","high_verbal","No","Qy5J1Mxs",100,"same_different"
"52","no_answer","high_verbal","No","ts7nbQkN",200,"same_different"
"53","no_answer","high_verbal","No","xnNpmgQR",200,"same_different"
"54","no_answer","high_verbal","No","XWkUpOyp",200,"same_different"
"55","no_answer","high_verbal","Yes","3HwZ3aSO",200,"same_different"
"56","no_answer","high_verbal","Yes","IbadRTNw",197,"same_different"
"57","no_answer","high_verbal","Yes","yI870PhA",100,"same_different"
"58","no_answer","low_verbal","No","0CxunTLR",200,"same_different"
"59","no_answer","low_verbal","No","5WF1GwNy",100,"same_different"
"60","no_answer","low_verbal","No","AZihdj82",200,"same_different"
"61","no_answer","low_verbal","No","CPt18YMj",200,"same_different"
"62","no_answer","low_verbal","No","fbKqS6qy",191,"same_different"
"63","no_answer","low_verbal","No","GJMX4RUC",200,"same_different"
"64","no_answer","low_verbal","No","hRiDYGB2",198,"same_different"
"65","no_answer","low_verbal","No","LyXqRZhM",200,"same_different"
"66","no_answer","low_verbal","No","mqvAJ91n",100,"same_different"
"67","no_answer","low_verbal","No","Ny0Ml3uz",98,"same_different"
"68","no_answer","low_verbal","No","OwZfp5qv",200,"same_different"
"69","no_answer","low_verbal","No","ozMU0TCL",197,"same_different"
"70","no_answer","low_verbal","No","pylKRwzb",169,"same_different"
"71","no_answer","low_verbal","No","vhsbIoXa",200,"same_different"
"72","no_answer","low_verbal","No","xa4C6HC1",199,"same_different"
"73","no_answer","low_verbal","No","zzU1ectZ",200,"same_different"
"74","no_answer","low_verbal","Yes","05Wo9IGy",200,"same_different"
"75","no_answer","low_verbal","Yes","4KFmznfv",200,"same_different"
"76","no_answer","low_verbal","Yes","8Mnv01S8",192,"same_different"
"77","No.","low_verbal","No","rdIExOr9",200,"same_different"
"78","none","high_verbal","No","DuDDHkI9",200,"same_different"
"79","none","low_verbal","No","0EwA9ugv",198,"same_different"
